id;ville
1;Ambositra
2;Antananarivo
4;Fianarantsoa
6;Tamatave
8;Antsirabe
9;Antsirabe
10;Toliara
12;Antsiranana
16;Antsiranana
20;Toliara
22;Melaky
25;Tamatave
29;Fort Dauphin
31;Mahajanga
45;Antsiranana
38;Mandritsara
46;Moramanga
47;Manakara
49;Antananarivo
50;Antananarivo
51;Farafangana
52;Vangaindrano
53;Tamatave
54;Antananarivo
55;Fianarantsoa
56;Fianarantsoa
58;Toliara
59;Tsiroanomandidy
60;Fandrina
61;Madagascar
62;Antananarivo
63;
64;Saint Denis
66;Fort Dauphin
65;Antananarivo
67;Antananarivo
68;Antananarivo
69;Alakamisy Fenoarivo
70;Antananarivo
71;Mahajanga
72;Antananarivo
73;Neuchâtel
74;Saint Denis
75;Port-Louis
76;Genève
77;Le port
79;Morondava
80;Antsohihy
81;Fort Dauphin
82;Mananjary
83;
84;Ambodin'isotry
85;Antananarivo
87;
86;Sainte Marie
88;Sambava
89;Sambaina Antsirabe
90;Antananarivo
91;Antsiranana
92;Antananarivo
93;Ambanja
94;Toulouse
95;Ambatondrazaka
96;Ambatofinandrahana
97;Antananarivo
98;Antananarivo
99;Ambohidratrimo
102;Miarinarivo
103;Antananarivo
104;Antananarivo
105;Marovoay
106;Paris
110;Androy
112;Fort Dauphin
114;Antananarivo
117;Nosy Be
118;Antananarivo
120;Toamasina I
121;Mandoto
122;Antananarivo
123;Antananarivo
124;Bordeaux
126;Amiens
129;Havre
130;Marovoay
131;Andapa
132;Toliara
133;Antalaha
134;Maevatanana
135;Antananarivo
136;Antananarivo
137;Commune Rurale d'Ankadinanadriana
138;Antananarivo
139;Antananarivo
140;Mandrosoa, Ivato
143;Marseille
142;Anosipatrana
144;Antananarivo
146;Saint-Louis, Reinach
148;Saint-Louis
154;Nosy-Varika
156;Alger
160;Saint-Louis
162;Ambatolampy
163;Antananarivo
164;Fianarantsoa
168;Antananarivo
170;Maurice
175;Mahajanga
178;Antananarivo
183;Bologne
186;Antananarivo
187;Lyon
190;Moroni
192;Antananarivo
189;Analanjirofo
198;Angers
199;Antananarivo
200;Antananarivo
201;Mandraka
202;Antananarivo/Toamasina
204;Antananarivo
203;Maroantsetra
205;Mahajanga
206;Analavory
207;Antananarivo
209;Antsiranana
210;Antananarivo
212;St Philbert de GL 
213;Nantes
216;La Reunion
217;Maurice
218;Montpellier
219;Nantes
221;Chicago
222;Broye
223;Incisa Valdarno, Florence
227;Vakinankaratra
228;Antsiranana
229;Dakar
231;Antananarivo
234;Maroc
235;RD Congo
236;Bahrain
237;Antananarivo et Majunga
240;Ankazobe
241;Antananarivo
242;Bevalala
243;Ambalavao
244;Fenoarivo
245;Antohomadinika
246;Ankerana
247;Andekaleka
248;
249;Antananarivo
250;St Denis
251;Morarano
252;Anjeva gare
253;lome
254;Djibouti
255;Aubagne
256;Anosy avaratra
257;Vatovavy Fitovinany
258;AMBOHIMALAZA
259;Fenerive-Est
260;Kinshasa
261;accra
262;lubumbashi
263;Ambilobe
265;Miandrivazo
264;Antsirabe
269;Fenerive-Est
266;Antananarivo
267;Paris
268;Antananarivo
270;Ambandrazaka
271;Antananarivo
272;Antananarivo
273;Ambilobe
274;Paris
275;Colombia
277;Nosy Be
276;Antananarivo
280;Afrique centrale
281;Amboasarikely
282;Aquitena
283;Antananarivo
284;Cape May New Jersey
285;Andasibe
286;
287;Antsirabe, Atsimo Antsinanana et Amoron'i Mania
288;Marovoahy
289;Antsahabe
290;Antananarivo
291;Antsahavola
292;Ambohimahasoa
293;Tajombato
294;Antananarivo
295;Antananarivo
296;Antananarivo
297;Antananarivo
298;Antananarivo
299;Antananarivo
292;Ambohimahasoa
300;Antananarivo
301;Antananarivo
302;Antananarivo
303;Antananarivo
304;Ankadimbahoaka, Antananarivo
305;Analamahintsy, Antananarivo
307;Antananarivo & Toamasina
306;Antananarivo
308;Antsakaviro
309;Nancy
310;Bealanana
311;Toamasina
313;Mampikony, Ambondromamy & Antanadava
312;Antananarivo
315;Ivato, Antananarivo
316;Antananarivo
317;Antaninarenina, Antananarivo
318;FELLETIN
319;Alaotra Mangoro
320;Montluon
322;ANDOHARIANA
321;Paris
323;Antananarivo
324;Anjozorobe
325;Vontovorona
328;Imeritsiatosika
330;Antananarivo
331;Nimes
332;Antananarivo
333;Ambatomirahavavy et Ivato
334;Gol le Haut
335;Arivonimamo - Alarobia Ambatomanga
336;Pont-A -Mousson
337;LAXOU
338;Antananarivo
339;Andoharanofotsy
340;Vohipeno
341;Fianarantsoa
342;Nairobi
343;Mahajanga & Toliara
345;Reims
346;Uttar Pradesh
347;Brest
348;Fenerive-Est
349;Antananarivo
350;Antananarivo
351;Antananarivo
352;Antehiroka
353;Miandrivazo, Antananarivo, Manakara, Vohipeno, Ambositra et Ihosy
355;Antananarivo
354;Djibouti
356;Antananarivo
357;Saint Priest
358;Antananarivo, Bricaville, Diego, Manakara & Mananara
359;Faratsiho
360;Antananarivo
361;Antananarivo
